NAME,YEAR,THICKNESS_CHG
SCHWARZBERG,1999,-3210.0
SCHWARZBERG,2004,-3100.0
SCHWARZENSTEIN,1950,-24360.0
SCHWARZENSTEIN,1960,-830.0
SCHWARZENSTEIN,1969,171.53846153846155
SCHWARZENSTEIN,1979,11120.692307692309
SCHWARZENSTEIN,1989,-4063.153846153846
SCHWARZENSTEIN,1999,-9597.384615384615
SCHWARZENSTEIN,2009,-16023.75
SCOTT,2000,-40000.0
SCOTT,2004,-26450.0
SEEWJINEN,1946,-3360.0
SEEWJINEN,1956,-7600.0
SEEWJINEN,1967,-1540.0
SEEWJINEN,1982,4100.0
SEEWJINEN,2004,-12760.0
SENTINEL,1966,-4975.0
SENTINEL,1968,-4620.0
SENTINEL,1970,-8120.0
SENTINEL,1972,-3121.6666666666665
SENTINEL,1978,-1792.5
SHAIGIRI,1958,-4516.666666666667
SHAIGIRI,1987,11248.666666666666
SHAKES,2000,-117520.0
SHAMROCK,1996,-3900.0
SHAMROCK,2001,1050.0
SHERIDAN,2000,-49444.0
SHERIDAN,2004,-35400.0
SHERMAN,2004,-44400.0
SHUMSKIY,1985,-634.1935483870968
SHUMSKIY,1986,-557.741935483871
SHUMSKIY,1987,-1012.5806451612904
SHUMSKIY,1988,-222.90322580645162
SHUMSKIY,1989,-361.2903225806452
SHUMSKIY,1990,-893.6666666666666
SHUMSKIY,1991,-1687.6666666666667
SILVRETTA,1938,-5810.0
SILVRETTA,1956,-9200.0
SILVRETTA,1959,-7210.0
SILVRETTA,1973,-1285.0
SILVRETTA,1986,3518.0
SILVRETTA,1994,-8038.0
SILVRETTA,2003,-6109.0
SILVRETTA,2007,-4856.0
SKILAK,1994,-8415.333333333334
SKILAK,1996,-3200.0
SKILAK,2000,-800.0
SLAKBREEN,1961,2710.0
SLAKBREEN,1977,-1900.0
SLAKBREEN,1990,-4220.0
SLAKBREEN,2003,-7010.0
SOLER,2000,-14250.0
SOUTH CASCADE,1961,-2850.0
SOUTH CASCADE,1964,-90.0
SOUTH CASCADE,1970,-5510.0
SOUTH CASCADE,1975,2770.0
SOUTH CASCADE,1976,1600.0
SOUTH CASCADE,1977,-1870.0
SOUTH CASCADE,1979,-1680.0
SOUTH CASCADE,1980,-2070.0
SOUTH CASCADE,1985,-6680.0
SOUTH CASCADE,1986,-640.0
SOUTH CASCADE,1987,-1970.0
SOUTH CASCADE,1988,-1350.0
SOUTH CASCADE,1989,-1210.0
SOUTH CASCADE,1990,-1320.0
SOUTH CASCADE,1991,-1220.0
SOUTH CASCADE,1992,-2430.0
SOUTH CASCADE,1993,-1340.0
SOUTH CASCADE,1994,-1460.0
SOUTH CASCADE,1995,-900.0
SOUTH CASCADE,1996,-620.0
SOUTH ELLESMERE ICE FIELD,2000,-980.0
SOUTH FORK TSINA,2000,-22778.0
SOUTH FORK TSINA,2004,-24600.0
SOUTH HUBLEY,1994,-10760.0
SOUTH SAWYER,2000,-74100.0
SPHINX,1966,-155.0
SPHINX,1968,1840.0
SPHINX,1970,65.0
