NAME,YEAR,AREA
COMMANDANT CHARCOT,1989,33.75
COMMANDANT CHARCOT,1996,32.8
COMPTON,1980,13.14
CONCONTA NORTE,2005,0.22
CONCONTA NORTE,2013,0.09
CONEJERAS,1987,0.33
CONEJERAS,2009,0.18
CONEJERAS,2010,0.22
CONNESS,2004,0.16
CONWAY,1947,10.72
CONWAY,2005,8.46
COOK,2003,27.6
COOLIDGE INF.,1975,0.05
CORBASSIERE,1973,17.44
CORBASSIERE,1975,17.44
CORBASSIERE,2003,15.99
CORCOVADO (LENGUA NORTE),1979,7.61
CORCOVADO (LENGUA NORTE),2007,5.0
CORNA ROSSA,1975,0.04
CORNISELLO MER.,1975,0.35
CORNISELLO MER.,1980,0.4
CORNO,1973,0.27
CORNO,1975,0.27
CORONAS,1928,0.19
CORONAS,1980,0.08
CORONAS,1990,0.12
CORONAS,1998,0.02
CORONAS,2005,0.02
COROPUNA,1955,122.7
COROPUNA,1980,80.14
COROPUNA,1996,65.5
COROPUNA,2003,57.3
COROPUNA,2008,48.1
COSTONE,1975,0.3
COUPE DE MONEY,1975,1.54
COWLITZ,1980,3.42
CRAPINELLIN (CRISTALLO D.),1975,0.13
CRATER,1959,0.4
CRATER,1984,0.15
CRATER,1987,0.1
CRATER,1992,0.16
CREGUENA N,1990,0.06
CREGUENA N,2005,0.0
CREGUENA S,1990,0.04
CREGUENA S,2005,0.0
CRESTA BIANCA,1975,0.15
CRISTALLO,1975,0.35
CRISTALLO,1982,0.32
CRISTALLO CENTR.,1975,0.19
CRISTALLO OR.,1975,0.8
CRODA DEL CAVAL,1975,0.41
CRODA ROSSA / ROTWANDF.,1975,0.22
CRODA ROSSA / ROTWANDF.,1980,0.21
CROSLINA,1973,0.42
CROW,1978,0.47
CROZZON DI BRENTA,1975,0.34
CRUSOE GLACIER,1975,43.52
CUMBAL,1850,2.3
CUMBAL,1985,0.0
CUMBERLAND,1985,2.8
DAGONGBA,1984,20.21
DAINTY,1978,0.56
DAMMA,1973,6.32
DAMMA,1975,6.32
DANIELS,1989,0.5
DANIELS,1999,0.4
DART,1966,9.86
DART,1978,9.85
DARWIN,1975,0.04
DARWIN,1987,0.02
DARWIN,1993,0.02
DARWIN,2004,0.01
DARWIN (SN),2004,0.12
DAUNKOGEL F.,1969,2.2
DAUNKOGEL F.,1975,2.69
DAVIDOV,1983,11.43
DEBELI NAMET,2006,0.05
DECADE,1975,8.47
DEER LAKE,1964,4.64
DEVDORAKI,1960,7.0
DEVDORAKI,1975,7.0
DEVON ICE CAP NE,1975,3453.57
DEVON ICE CAP NW,1975,1695.1
DEVON ICE CAP NW,1983,1696.1
DEVON ICE CAP SE,1975,4604.76
DEVON ICE CAP SW,1975,3069.84
DIABASTOPPEN NORTH,2002,3.28
DIABASTOPPEN NORTHWEST,2002,6.18
DIABLOS ROJOS,1987,0.57
DIABLOS ROJOS,1992,0.06
DIAMIR,1958,39.41
DIAMOND,1975,0.01
DIAMOND,1987,0.002
DIAMOND,1993,0.003
DIAMOND,2004,0.003
DIBBLE,1963,1612.0
DIBBLE,1973,1580.0
DIBBLE,1989,1528.0
DIBBLE,1996,1585.0
DIBBLE,1997,1587.0
DICKSON,1986,71.0
DICKSON,1996,71.0
DIDAL,1968,1.6
DIEM F.,1969,2.89
DIEM F.,1975,3.5
DIKHADANG (NO.314),1983,1.5
DINGLESTADT,2006,59.47
DISPUTE,1978,0.29
DJANKUAT,1984,3.12
DJANKUAT,1985,3.13
DJANKUAT,1992,2.87
DJANKUAT,1999,2.73
DOLONATA,1964,3.2
DOMES DE MIAGE,1975,0.08
DONALD,1978,3.63
DONNE,1978,3.52
DORFER K.,1969,4.59
DORFER K.,1975,6.24
DOSDE CENTR.,1975,0.59
DOSDE OCC.,1975,0.34
DOSDE OR.,1975,0.9
DOSDE OR.,1980,0.85
DOSEGU,1975,2.15
DOSEGU,1980,3.3
DOUGLAS (KAR.),1978,11.76
DOUGLAS (RAK.),1978,0.31
DOWNES,1980,16.42
DRAGONE,1975,0.12
DRUMMOND,1975,1.31
DRYADBREEN,1936,2.15
DRYADBREEN,1995,1.45
DRYADBREEN,2001,1.07
DUGOV,1967,4.5
DUNAGIRI,1989,2.56
DUNGEL,1973,1.21
DVOINOI LEVIY,1950,2.1
DX080,1976,1.15
DYKH-SU,1950,34.0
DYNGJUJOEKULL,1995,1040.0
DYNGJUJOEKULL,2008,1050.0
DZHAMBUL,1975,10.1
DZHELO,1975,0.9
DZHELO,1991,8.66
E SKEP PT. G,2001,15.19
E.GRUEBL F.,1969,1.13
E.GRUEBL F.,1975,1.41
EALY,1980,17.34
EAST CHABA,1975,1.68
EAST FORK,1964,46.0
EASTON,2000,2.9
EB050,1976,0.42
EBBABREEN,1950,20.4
ECHAURREN NORTE,1955,0.4
ECHAURREN NORTE,1975,0.35
ECHAURREN NORTE,1995,0.4
EEL,1979,1.11
EIGER,1973,2.27
EIGER,1975,2.27
EISER K.,1969,0.61
EISER K.,1975,0.63
EISKAR G.,1995,0.15
EKLUTNA,1985,31.6
EL AFRICA,1987,0.48
EL AZUFRE,1985,8.83
EL AZUFRE,2011,5.21
EL BOQUERON,1987,0.57
EL CASTILLO,1955,4.16
EL CASTILLO,1994,2.48
EL CASTILLO NE,1994,1.51
EL CASTILLO SE,1994,0.9
EL CISNE,1850,4.5
EL CISNE,1946,0.84
EL CISNE,1959,0.07
EL CISNE,1960,0.0
EL CONCAVO,1955,12.11
EL CONCAVO,1994,1.91
EL CONCAVO W,1994,1.46
EL DIAMANTE,1955,0.09
EL DIAMANTE,1994,0.01
EL ESPANOL,1987,1.23
EL HONGO,1987,0.3
EL JUDIO,1955,0.46
EL JUDIO,1994,0.06
EL OSO,1984,2.7
EL RINCON,1989,0.7
EL RINCON,2007,0.8
ELENA,1950,0.17
ELIOT,1901,2.03
ELIOT,2004,1.64
ELKIN,1951,1.49
ELSABREEN,1950,0.36
EMERALD,1977,1.9
EMMONS,1980,11.17
EN DARREY,1973,1.86
EN DARREY,1975,1.86
